client_id,order_id,order_date,delivery_date,carrier,origin_city,destination_city,status,sku,product_category,quantity,unit_price_usd,order_value_usd,is_promo,promo_discount_pct,region,warehouse
CL-1023,ORD-2026-267300-0001,2025-10-19,2025-10-22,DHL,"London, UK","Leeds, UK",delivered,PAPER-0197,PAPER,2,13.11,26.22,0,0,UK,LON-FC1
CL-1001,ORD-2026-187805-0002,2025-01-22,2025-01-26,LaserShip,"Chicago, IL","Milwaukee, WI",delivered,CRAYON-0008,CRAYON,3,11.69,35.07,0,0,US-C,CHI-DC1
CL-1014,ORD-2026-189805-0003,2025-07-14,2025-07-18,FedEx,"Dallas, TX","San Antonio, TX",delivered,BOOK-0115,BOOK,2,21.28,42.56,0,0,US-C,DFW-DC1
CL-1001,ORD-2026-129841-0004,2025-03-27,2025-03-30,GLS,"Dallas, TX","Austin, TX",delivered,PENCIL-0076,PENCIL,1,8.08,8.08,0,0,US-C,DFW-DC1
CL-1018,ORD-2026-224297-0005,2025-01-13,2025-01-17,Royal Mail,"Amsterdam, NL","Hamburg, DE",delayed,STICKER-0210,STICKER,1,6.71,6.71,0,0,EU,AMS-FC1
CL-1004,ORD-2026-642509-0006,2025-06-15,2025-06-19,DHL,"San Francisco, CA","Boise, ID",delivered,CRAYON-0211,CRAYON,6,10.4,62.4,0,0,US-W,SFO-DC2
CL-1017,ORD-2026-264382-0007,2025-07-20,2025-07-22,LaserShip,"Atlanta, GA","Charlotte, NC",delivered,MARKER-0219,MARKER,1,16.9,16.9,0,0,US-E,ATL-DC1
CL-1005,ORD-2026-846311-0008,2025-03-29,2025-03-31,OnTrac,"San Francisco, CA","Salt Lake City, UT",delivered,PENCIL-0056,PENCIL,1,5.04,5.04,0,0,US-W,SFO-DC2
CL-1007,ORD-2026-699267-0009,2025-01-10,2025-01-14,USPS,"London, UK","Glasgow, UK",delayed,CRAYON-0130,CRAYON,2,8.27,16.54,0,0,UK,LON-FC1
CL-1006,ORD-2026-721990-0010,2025-02-06,2025-02-09,DPD,"Chicago, IL","Indianapolis, IN",delivered,PAPER-0199,PAPER,1,11.42,11.42,0,0,US-C,CHI-DC1
CL-1009,ORD-2026-743363-0011,2025-07-01,2025-07-04,DHL,"London, UK","Edinburgh, UK",delivered,BRUSH-0014,BRUSH,2,11.65,23.3,0,0,UK,LON-FC1
CL-1030,ORD-2026-981522-0012,2025-12-15,2025-12-18,LaserShip,"Berlin, DE","Zurich, CH",delivered,CRAYON-0219,CRAYON,5,9.59,47.95,1,17,EU,BER-FC1
CL-1012,ORD-2026-240527-0013,2025-04-07,2025-04-14,UPS,"Amsterdam, NL","Brussels, BE",delivered,PENCIL-0083,PENCIL,4,8.04,32.16,0,0,EU,AMS-FC1
CL-1012,ORD-2026-633184-0014,2025-11-13,2025-11-14,LaserShip,"Atlanta, GA","Nashville, TN",delivered,PAPER-0103,PAPER,8,12.81,102.48,0,0,US-E,ATL-DC1
CL-1016,ORD-2026-636722-0015,2025-10-14,2025-10-21,UPS,"Chicago, IL","Cleveland, OH",exception,CRAYON-0150,CRAYON,2,9.66,19.32,0,0,US-C,CHI-DC1
CL-1001,ORD-2026-918630-0016,2025-01-01,2025-01-04,UPS,"Los Angeles, CA","San Jose, CA",delivered,STICKER-0001,STICKER,6,3.38,20.28,0,0,US-W,LAX-DC1
CL-1004,ORD-2026-630662-0017,2025-10-21,2025-10-25,DHL,"Newark, NJ","Boston, MA",delivered,PENCIL-0043,PENCIL,4,4.46,17.84,0,0,US-E,EWR-DC1
CL-1020,ORD-2026-404402-0018,2025-07-30,2025-08-04,USPS,"London, UK","Edinburgh, UK",delivered,BRUSH-0112,BRUSH,1,8.83,8.83,0,0,UK,LON-FC1
CL-1006,ORD-2026-686614-0019,2025-07-04,2025-07-08,DPD,"London, UK","Manchester, UK",delivered,BRUSH-0068,BRUSH,2,8.44,16.88,0,0,UK,LON-FC1
CL-1003,ORD-2026-428072-0020,2025-05-03,2025-05-05,Royal Mail,"San Francisco, CA","Salt Lake City, UT",delivered,STICKER-0196,STICKER,6,6.41,38.46,0,0,US-W,SFO-DC2
CL-1021,ORD-2026-467881-0021,2025-02-04,2025-02-05,FedEx,"Los Angeles, CA","Seattle, WA",delivered,CRAYON-0028,CRAYON,6,10.29,61.74,0,0,US-W,LAX-DC1
CL-1002,ORD-2026-658600-0022,2025-03-27,2025-04-03,DHL,"Chicago, IL","Indianapolis, IN",delayed,CRAYON-0044,CRAYON,3,12.57,37.71,0,0,US-C,CHI-DC1
CL-1024,ORD-2026-946295-0023,2025-04-18,2025-04-22,Royal Mail,"Chicago, IL","Detroit, MI",delivered,CRAYON-0008,CRAYON,1,8.69,8.69,0,0,US-C,CHI-DC1
CL-1022,ORD-2026-571946-0024,2025-11-13,,UPS,"Berlin, DE","Munich, DE",in_transit,BOOK-0155,BOOK,1,14.31,14.31,0,0,EU,BER-FC1
CL-1028,ORD-2026-314492-0025,2025-06-28,2025-06-29,OnTrac,"Atlanta, GA","Orlando, FL",delivered,PAPER-0220,PAPER,7,5.17,36.19,0,0,US-E,ATL-DC1
CL-1019,ORD-2026-506275-0026,2025-04-09,2025-04-14,FedEx,"London, UK","Glasgow, UK",delivered,PAINT-0065,PAINT,1,26.72,26.72,0,0,UK,LON-FC1
CL-1004,ORD-2026-617594-0027,2025-01-10,2025-01-15,UPS,"Newark, NJ","Washington, DC",delayed,PAPER-0214,PAPER,8,5.22,41.76,0,0,US-E,EWR-DC1
CL-1005,ORD-2026-789075-0028,2025-02-20,2025-02-26,USPS,"San Francisco, CA","Sacramento, CA",delayed,BRUSH-0188,BRUSH,1,11.1,11.1,0,0,US-W,SFO-DC2
CL-1028,ORD-2026-938750-0029,2025-02-19,2025-02-23,DPD,"San Francisco, CA","Sacramento, CA",delivered,PENCIL-0020,PENCIL,3,2.59,7.77,0,0,US-W,SFO-DC2
CL-1015,ORD-2026-169996-0030,2025-03-05,2025-03-07,DHL,"London, UK","Edinburgh, UK",delivered,CRAYON-0179,CRAYON,4,3.77,15.08,1,29,UK,LON-FC1
CL-1004,ORD-2026-589456-0031,2025-07-03,2025-07-05,UPS,"Newark, NJ","Boston, MA",delayed,PAINT-0138,PAINT,2,17.92,35.84,0,0,US-E,EWR-DC1
CL-1004,ORD-2026-647956-0032,2025-06-16,2025-06-21,FedEx,"Chicago, IL","Cleveland, OH",delivered,PAINT-0018,PAINT,2,27.43,54.86,0,0,US-C,CHI-DC1
CL-1009,ORD-2026-513061-0033,2025-07-25,,DPD,"Chicago, IL","Detroit, MI",in_transit,STICKER-0204,STICKER,1,8.05,8.05,0,0,US-C,CHI-DC1
CL-1014,ORD-2026-751384-0034,2025-04-01,2025-04-02,DPD,"London, UK","Birmingham, UK",delivered,PAPER-0066,PAPER,3,7.39,22.17,0,0,UK,LON-FC1
CL-1002,ORD-2026-134448-0035,2025-09-26,2025-09-29,DHL,"Los Angeles, CA","Seattle, WA",delivered,BOOK-0142,BOOK,1,22.82,22.82,0,0,US-W,LAX-DC1
CL-1015,ORD-2026-638527-0036,2025-12-23,2025-12-28,FedEx,"Dallas, TX","San Antonio, TX",delivered,STICKER-0078,STICKER,5,5.91,29.55,0,0,US-C,DFW-DC1
CL-1020,ORD-2026-557564-0037,2025-04-12,2025-04-14,UPS,"Berlin, DE","Prague, CZ",delivered,CRAYON-0029,CRAYON,1,5.54,5.54,0,0,EU,BER-FC1
CL-1023,ORD-2026-872370-0038,2025-10-02,2025-10-06,FedEx,"Dallas, TX","Kansas City, MO",delivered,CRAYON-0160,CRAYON,2,6.26,12.52,0,0,US-C,DFW-DC1
CL-1005,ORD-2026-816900-0039,2025-07-14,2025-07-18,Royal Mail,"Newark, NJ","Boston, MA",delivered,BRUSH-0181,BRUSH,4,15.01,60.04,0,0,US-E,EWR-DC1
CL-1003,ORD-2026-879345-0040,2025-04-20,2025-04-25,UPS,"Chicago, IL","Cleveland, OH",delivered,BRUSH-0212,BRUSH,3,6.02,18.06,0,0,US-C,CHI-DC1
CL-1005,ORD-2026-695267-0041,2025-02-25,,UPS,"Dallas, TX","Austin, TX",in_transit,BRUSH-0142,BRUSH,4,11.91,47.64,0,0,US-C,DFW-DC1
CL-1003,ORD-2026-528161-0042,2025-05-20,2025-05-26,USPS,"Newark, NJ","Philadelphia, PA",delayed,STICKER-0031,STICKER,1,2.69,2.69,0,0,US-E,EWR-DC1
CL-1003,ORD-2026-162997-0043,2025-09-24,2025-09-29,USPS,"Atlanta, GA","Nashville, TN",delivered,STICKER-0185,STICKER,11,7.51,82.61,0,0,US-E,ATL-DC1
CL-1005,ORD-2026-516393-0044,2025-01-24,2025-01-27,OnTrac,"Dallas, TX","Oklahoma City, OK",delivered,BRUSH-0109,BRUSH,4,15.24,60.96,0,0,US-C,DFW-DC1
CL-1003,ORD-2026-659955-0045,2025-03-06,2025-03-17,OnTrac,"London, UK","Edinburgh, UK",exception,CRAYON-0176,CRAYON,1,9.7,9.7,0,0,UK,LON-FC1
CL-1030,ORD-2026-823172-0046,2025-10-25,2025-10-26,FedEx,"Newark, NJ","Washington, DC",delivered,CRAYON-0082,CRAYON,3,10.08,30.24,0,0,US-E,EWR-DC1
CL-1001,ORD-2026-231736-0047,2025-02-08,2025-02-12,FedEx,"London, UK","Edinburgh, UK",delivered,PAINT-0164,PAINT,1,21.19,21.19,0,0,UK,LON-FC1
CL-1026,ORD-2026-725867-0048,2025-08-22,2025-08-27,FedEx,"Dallas, TX","Austin, TX",delivered,PAINT-0035,PAINT,2,28.05,56.1,0,0,US-C,DFW-DC1
CL-1001,ORD-2026-557236-0049,2025-11-07,2025-11-12,UPS,"Chicago, IL","Milwaukee, WI",delivered,STICKER-0085,STICKER,7,2.92,20.44,1,21,US-C,CHI-DC1
CL-1003,ORD-2026-399641-0050,2025-05-26,2025-06-01,USPS,"Dallas, TX","Austin, TX",delivered,BOOK-0215,BOOK,1,16.67,16.67,0,0,US-C,DFW-DC1
CL-1030,ORD-2026-393647-0051,2025-02-21,2025-02-22,FedEx,"San Francisco, CA","Salt Lake City, UT",delivered,STICKER-0099,STICKER,3,2.92,8.76,0,0,US-W,SFO-DC2
CL-1003,ORD-2026-928451-0052,2025-11-03,2025-11-06,USPS,"Newark, NJ","Boston, MA",delivered,PAINT-0044,PAINT,3,21.86,65.58,0,0,US-E,EWR-DC1
CL-1012,ORD-2026-541359-0053,2025-02-19,2025-02-21,UPS,"Chicago, IL","Cleveland, OH",delivered,PAPER-0053,PAPER,2,15.43,30.86,0,0,US-C,CHI-DC1
CL-1022,ORD-2026-511785-0054,2025-01-14,2025-01-20,UPS,"Newark, NJ","New York, NY",delayed,MARKER-0124,MARKER,2,14.9,29.8,0,0,US-E,EWR-DC1
CL-1004,ORD-2026-935703-0055,2025-11-29,2025-12-02,USPS,"Amsterdam, NL","Frankfurt, DE",delivered,MARKER-0027,MARKER,3,15.76,47.28,0,0,EU,AMS-FC1
CL-1013,ORD-2026-474512-0056,2025-12-29,2025-12-30,UPS,"Berlin, DE","Warsaw, PL",delivered,PAINT-0052,PAINT,2,20.38,40.76,1,6,EU,BER-FC1
CL-1004,ORD-2026-398460-0057,2025-05-17,2025-05-21,LaserShip,"Berlin, DE","Warsaw, PL",delivered,MARKER-0023,MARKER,1,15.85,15.85,0,0,EU,BER-FC1
CL-1024,ORD-2026-357825-0058,2025-01-31,2025-02-03,OnTrac,"Los Angeles, CA","San Diego, CA",delivered,CRAYON-0017,CRAYON,2,4.86,9.72,0,0,US-W,LAX-DC1
CL-1017,ORD-2026-438332-0059,2025-01-14,2025-01-15,UPS,"London, UK","Leeds, UK",delivered,CRAYON-0008,CRAYON,3,7.44,22.32,0,0,UK,LON-FC1
CL-1008,ORD-2026-248343-0060,2025-05-02,2025-05-03,UPS,"London, UK","Leeds, UK",delivered,BRUSH-0129,BRUSH,2,9.95,19.9,0,0,UK,LON-FC1
CL-1010,ORD-2026-923236-0061,2025-12-02,2025-12-03,FedEx,"Newark, NJ","Boston, MA",delivered,PAPER-0041,PAPER,8,17.64,141.12,0,0,US-E,EWR-DC1
CL-1002,ORD-2026-458520-0062,2025-04-03,2025-04-07,OnTrac,"Atlanta, GA","Richmond, VA",delivered,CRAYON-0034,CRAYON,3,4.25,12.75,0,0,US-E,ATL-DC1
CL-1017,ORD-2026-687532-0063,2025-08-28,2025-08-29,OnTrac,"Berlin, DE","Munich, DE",delivered,MARKER-0214,MARKER,2,14.21,28.42,0,0,EU,BER-FC1
